movieID,name,releaseDate,duration,genres,ratingFromTomato,contentRating,ratingFromIMDB,directorID,userID
1120,The Internet's Own Boy: The Story of Aaron Swartz,2014,105,"Biography,Crime,Documentary",91.51323622495552,R,8.0,422,321
73,Amal,2014,55,Documentary,98.57902135352244,NR,-1.0,1300,321
158,Blood Done Sign My Name,2010,128,Drama,52.64489006009821,PG-13,6.5,644,321
442,Guest of Honour,2019,105,Drama,41.97131380866988,NR,5.8,12,321
1145,The Lives of Others,2006,137,"Drama,Mystery,Thriller",92.0048457174273,R,9.0,94,321
883,Scary Stories,2018,84,Documentary,74.36271977167843,NR,6.1,1291,322
1021,The Challenge,2016,90,Documentary,78.9100895399614,NR,9.2,1250,322
118,Batman: The Killing Joke,2016,76,"Action,Animation,Crime",39.75529495487418,R,6.714285714285714,459,322
25,A Cat in Paris,2010,70,"Adventure,Animation,Comedy",83.0565472383869,PG,6.9,287,322
706,Much Ado About Nothing,2011,161,"Comedy,Romance",85.90817658648687,PG-13,8.6,957,322
484,Hide and Seek,2017,118,"Comedy,Crime",13.339495565810672,R,5.7,1238,323
497,House Party 2,1991,94,"Comedy,Drama,Music",27.225769950953516,R,5.2,384,323
226,Chicago,2002,113,"Comedy,Crime,Musical",85.83170077924096,PG-13,8.307692307692308,482,323
241,Cocktail,2010,111,"Drama,Musical,Thriller",61.880435342583,NR,7.2,863,323
448,Habit,2017,52,Sport,75.95817745255431,R,-1.0,1237,323
954,Step Into Liquid,2003,87,"Documentary,Sport",81.47172119794658,PG,7.4,865,323
1139,The Last Lions,2011,88,"Documentary,Family",86.46543300562898,PG,8.2,401,323
63,All I Want for Christmas,2013,92,"Comedy,Family",4.995903746701276,G,5.2,553,324
654,Major Payne,1995,95,"Adventure,Comedy,Family",26.826359851223987,PG-13,6.375,213,324
1337,Wake Wood,2009,90,"Drama,Horror,Thriller",80.0,R,5.785714285714286,411,324
1056,The East,2020,137,"Drama,Thriller,War",76.21063436344129,PG-13,5.2,995,324
706,Much Ado About Nothing,2011,161,"Comedy,Romance",85.90817658648687,PG-13,8.6,957,324
1041,The Courier,2019,99,"Action,Crime,Drama",7.138394983346057,R,4.428571428571429,733,325
852,Riot Girls,2019,81,"Action,Sci-Fi",88.82590967666975,NR,4.5,818,325
592,Last Knights,2015,115,"Action,Drama,History",18.655834806703613,R,5.928571428571429,895,325
1110,The Horseman,2003,105,"Drama,History,Romance",59.665879589625426,R,7.0,382,325
996,The Angels' Share,2012,101,"Comedy,Crime,Drama",89.16585898754334,NR,8.071428571428571,460,325
577,King's Ransom,2005,95,"Comedy,Crime",6.535856495347935,PG-13,4.3,198,325
401,Frost/Nixon,2008,122,"Biography,Drama,History",91.62401278572914,R,8.272727272727273,4,325
1211,The Stone Boy,2015,71,"Adventure,Animation,Comedy",58.945706922154216,PG,5.1,956,326
1378,Woody Woodpecker,2017,91,"Adventure,Animation,Comedy",13.0,PG,3.4782608695652173,116,326
564,Judgment Day,2009,60,Sport,26.58207902284642,R,-1.0,1276,326
369,Fightville,2011,85,"Documentary,Sport",62.67023943159972,NR,6.5,278,326
795,Phantasm: Ravager,2016,85,"Action,Fantasy,Horror",55.509991339141166,NR,5.214285714285714,355,326
145,Black '47,2018,100,"Action,Drama,History",79.4380727278058,R,6.0625,242,326
428,Gone Girl,2014,149,"Drama,Mystery,Thriller",86.6514191274213,R,8.055555555555555,14,326
829,Railroad Tigers,2016,124,"Action,Adventure,Comedy",32.567477399926474,NR,5.7,261,327
96,Armageddon,1997,117,"Action,Comedy,Fantasy",37.76319278340486,PG-13,4.7,215,327
123,Beauty Is Embarrassing,2012,88,"Biography,Comedy,Documentary",91.67465591239298,NR,7.5,1094,327
275,Danny Says,2015,105,"Biography,Documentary,History",73.4856111759847,NR,6.7,1080,327
677,Meeting People Is Easy,1998,99,"Documentary,Music",64.34472668965307,NR,7.5,308,327
256,Country Strong,2010,117,"Drama,Music",22.227155823903765,PG-13,6.545454545454546,290,327
1145,The Lives of Others,2006,137,"Drama,Mystery,Thriller",92.0048457174273,R,9.0,94,327
1201,The Runaways,2010,106,"Biography,Drama,Music",69.25847441810681,R,6.166666666666667,626,328
337,Empire Records,1995,90,"Comedy,Drama,Music",26.301653193612612,PG-13,5.823529411764706,515,328
419,Goal II: Living the Dream,2007,115,"Adventure,Drama,Sport",39.291084141443235,PG-13,4.85,862,328
448,Habit,2017,52,Sport,75.95817745255431,R,-1.0,1237,328
985,Taking Care of Business,2016,89,"Comedy,Crime,Thriller",26.970620945494474,R,7.1,1261,328
921,Snakes on a Plane,2006,105,"Action,Adventure,Crime",69.0230799449041,R,6.357142857142857,274,328
669,Mary and Max,2009,92,"Animation,Comedy,Drama",93.34959563589686,G,8.23076923076923,273,328
1179,The Perfect Match,2013,87,"Biography,Documentary,Family",20.599567314127867,R,-1.0,1234,329
476,Heidi,2005,104,"Drama,Family",94.96728103090858,G,6.4,479,329
541,Isn't It Romantic,2019,89,"Comedy,Fantasy,Musical",70.61574749521569,PG-13,6.0,642,329
