movieID,name,genres,ratingFromIMDB,userID
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,191
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,191
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,191
922,Snapshots,Drama,8.724137931034482,191
996,The Angels' Share,"Comedy,Crime,Drama",8.071428571428571,191
1006,The Best Man Holiday,"Comedy,Drama",8.0,191
1072,The Filth and the Fury,"Biography,Documentary,Music",9.0,191
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,191
7,13,"Crime,Drama,Thriller",7.928571428571429,74
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,74
313,Dolemite Is My Name,"Biography,Comedy,Drama",7.714285714285714,74
589,La Haine,"Crime,Drama",7.846153846153846,74
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,74
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,74
922,Snapshots,Drama,8.724137931034482,74
1145,The Lives of Others,"Drama,Mystery,Thriller",9.0,74
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,74
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,74
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,76
401,Frost/Nixon,"Biography,Drama,History",8.272727272727273,76
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,76
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,76
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,76
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,76
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,76
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,76
922,Snapshots,Drama,8.724137931034482,76
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,76
7,13,"Crime,Drama,Thriller",7.928571428571429,146
16,"4 Months, 3 Weeks and 2 Days",Drama,8.444444444444445,146
54,Akeelah and the Bee,"Drama,Family",8.076923076923077,146
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,146
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,146
909,Shutter Island,"Mystery,Thriller",7.857142857142857,146
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,146
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,146
1242,The Wave,"Drama,Thriller",7.923076923076923,146
1311,Untamed Heart,"Drama,Romance",7.764705882352941,146
237,"Clean, Shaven","Crime,Drama,Thriller",8.076923076923077,117
254,Cool Runnings,"Adventure,Comedy,Family",7.333333333333333,117
266,"Crouching Tiger, Hidden Dragon","Action,Adventure,Drama",7.846153846153846,117
401,Frost/Nixon,"Biography,Drama,History",8.272727272727273,117
428,Gone Girl,"Drama,Mystery,Thriller",8.055555555555555,117
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,117
1171,The Others,"Horror,Mystery,Thriller",7.75,117
1196,The Resurrection of Gavin Stone,"Comedy,Drama,Family",8.0,117
1242,The Wave,"Drama,Thriller",7.923076923076923,117
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,117
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,222
